ID,data,No
3H,-0.177497756007984,5
3V,-0.184204068167331,5
4H,-0.0326978744618395,5
4V,0.0315082338369781,5
3H,-0.225180377804391,5
3V,-0.0156117711155378,5
4H,-0.0967657157534247,5
4V,-0.173692738767396,5
3H,-0.198789650698603,5
3V,-0.0223248716533865,5
4H,0.0216145351272016,5
4V,-0.192580362326044,5
3H,-0.0801381126546906,5
3V,0.0273860627091633,5
4H,-0.101942311252446,5
4V,-0.2033116905666,5
3H,0.0324387398802395,5
3V,-0.0917927158266932,5
4H,0.0415617628180039,5
4V,-0.0650251348011928,5
3H,0.0556030526946108,5
3V,-0.106092955308765,5
4H,0.020711918590998,5
4V,-0.173461957514911,5
3H,-0.0814860097405189,5
3V,0.0265241637250996,5
4H,0.0681321635029354,5
4V,-0.177858947693837,5
3H,0.243021738443114,5
3V,-0.00440101461155379,5
4H,0.0462780836594912,5
4V,0.00798676565606362,5
3H,0.276347121596806,5
3V,-0.0297541981075697,5
4H,0.0944275949119374,5
4V,-0.143958396341948,5
3H,0.107713607904192,5
3V,0.0977886424003984,5
4H,0.268327729158513,5
4V,0.0273177321471173,5
3H,0.248407227704591,5
3V,-0.324238374233068,5
4H,0.176643408414873,5
4V,-0.00406851819085487,5
3H,0.187916534051896,5
3V,0.128744169292829,5
4H,0.0279149181017613,5
4V,-0.0758961464314115,5
3H,0.27581040239521,5
3V,0.168713217250996,5
4H,0.01339534481409,5
4V,0.250501422872763,5
3H,0.0866229829141716,5
3V,-0.022749751434263,5
4H,0.0841521126223092,5
4V,0.195994534950298,5
3H,0.00570646419161677,5
3V,0.236317660099602,5
4H,0.0529430998043053,5
4V,0.189447635208747,5
3H,0.0944907984830339,5
3V,-0.0159213263844622,5
4H,-0.0496503280821918,5
4V,0.173062166282306,5
3H,-0.0578764639520958,5
3V,0.129496813476096,5
4H,-0.018375561741683,5
4V,0.103864229681909,5
3H,-0.078076622994012,5
3V,-0.03328677,5
4H,-0.0395840615459883,5
4V,0.0483734848409543,5
3H,-0.171124215489022,5
3V,-0.149121137689243,5
4H,-0.121489040215264,5
4V,0.0604226954970179,5
3H,-0.238781330299401,5
3V,0.119305768446215,5
4H,-0.113640460665362,5
4V,-0.155297043667992,5
3H,-0.187884492375249,5
3V,0.0471915302091633,5
4H,-0.0667402663405088,5
4V,-0.0759933174850895,5
3H,-0.150350742754491,5
3V,-0.136951366822709,5
4H,-0.102049907925636,5
4V,-0.235402431043738,5
3H,-0.194264131976048,5
3V,0.214345305717131,5
4H,-0.0322017342465753,5
4V,-0.0837791481610338,5
3H,-0.0996063818762475,5
3V,-0.0905241461952191,5
4H,-0.0758262076320939,5
4V,-0.147741994244533,5
3H,-0.0412198714570858,5
3V,0.0784141243924303,5
4H,-0.0888035619373777,5
4V,-0.21862220471173,5
3H,-0.0449464104590818,5
3V,-0.120781656304781,5
4H,0.0801232149706458,5
